earthquake,time
 '1997COLFIO01HERN_grid.csv',1997-09-26 00:33:12 UTC
 '1997COLFIO02HERN_grid.csv',1997-09-26 09:40:26 UTC
 '1997COLFIO03HERN_grid.csv',1997-10-14 15:23:10 UTC
 '1997KAGOSH01HORI_grid.csv',1997-03-26 08:31:47 UTC
 '1997KAGOSH01MIYA_grid.csv',1997-03-26 08:31:47 UTC
 '1997KAGOSH02HORI_grid.csv',1997-05-13 05:38:30 UTC
 '1997YAMAGU01IDEx_grid.csv',1997-06-25 09:50:12 UTC
 '1997YAMAGU01MIYA_grid.csv',1997-06-25 09:50:12 UTC
 '1997ZIRKUH01SUDH_grid.csv',1997-05-10 07:57:29 UTC
 '1998ANTARC01ANTO_grid.csv',1998-03-25 03:12:25 UTC
 '1998ANTARC02ANTO_grid.csv',1998-03-25 03:12:25 UTC
 '1998HIDASW05IDEx_grid.csv',1998-08-12 06:13:04 UTC
 '1998HIDASW07IDEx_grid.csv',1998-08-14 10:36:15 UTC
 '1998HIDASW08IDEx_grid.csv',1998-08-15 18:28:19 UTC
 '1998HIDASW09IDEx_grid.csv',1998-08-15 18:31:08 UTC
 '1998HIDASW10IDEx_grid.csv',1998-08-17 01:15:05 UTC
 '1998HIDASW11IDEx_grid.csv',1998-08-21 18:55:45 UTC
 '1998HIDASW16IDEx_grid.csv',1998-09-18 08:16:48 UTC
 '1998IWATEJ01MIYA_grid.csv',1998-09-03 07:58:21 UTC
 '1998IWATEJ01NAKA_grid.csv',1998-09-03 07:58:21 UTC
 '1998PUMQUx01WANG_grid.csv',1998-08-25 07:41:40 UTC
 '1998RUEYLI01MAxx_grid.csv',1998-07-17 04:51:14 UTC
 '1999CHICHI01CHIx_grid.csv',1999-09-20 17:47:18 UTC
 '1999CHICHI01JOHN_grid.csv',1999-09-20 17:47:18 UTC
 '1999CHICHI01MAxx_grid.csv',1999-09-20 17:47:18 UTC
 '1999CHICHI01SEKI_grid.csv',1999-09-20 17:47:18 UTC
 '1999CHICHI01WUxx_grid.csv',1999-09-20 17:47:18 UTC
 '1999CHICHI01ZENG_grid.csv',1999-09-20 17:47:18 UTC
 '1999CHICHI02MAxx_grid.csv',1999-09-20 17:47:18 UTC
 '1999DUZCET01BIRG_grid.csv',1999-11-12 16:57:19 UTC
 '1999DUZCET01DELO_grid.csv',1999-11-12 16:57:19 UTC
 '1999HECTOR01JIxx_grid.csv',1999-10-16 09:46:44 UTC
 '1999HECTOR01JONS_grid.csv',1999-10-16 09:46:44 UTC
 '1999HECTOR01KAVE_grid.csv',1999-10-16 09:46:44 UTC
 '1999HECTOR01SALI_grid.csv',1999-10-16 09:46:44 UTC
 '1999IZMITT01BOUC_grid.csv',1999-08-17 00:01:39 UTC
 '1999IZMITT01CAKI_grid.csv',1999-08-17 00:01:39 UTC
 '1999IZMITT01DELO_grid.csv',1999-08-17 00:01:39 UTC
 '1999IZMITT01REIL_grid.csv',1999-08-17 00:01:39 UTC
 '1999IZMITT01SEKI_grid.csv',1999-08-17 00:01:39 UTC
 '1999IZMITT01YAGI_grid.csv',1999-08-17 00:01:39 UTC
 '1999OAXACA01HERN_grid.csv',1999-09-30 16:31:15 UTC
 '2000KLEIFA01SUDH_grid.csv',2000-06-17 15:40:41 UTC
 '2000TOTTOR01IWAT_grid.csv',2000-10-06 04:30:19 UTC
 '2000TOTTOR01PIAT_grid.csv',2000-10-06 04:30:19 UTC
 '2000TOTTOR01SEKI_grid.csv',2000-10-06 04:30:19 UTC
 '2000TOTTOR01SEMM_grid.csv',2000-10-06 04:30:19 UTC
 '2001BHUJIN01ANTO_grid.csv',2001-01-26 03:16:40 UTC
 '2001BHUJIN01COPL_grid.csv',2001-01-26 03:16:40 UTC
 '2001BHUJIN01YAGI_grid.csv',2001-01-26 03:16:40 UTC
 '2001GEIYOJ01KAKE_grid.csv',2001-03-24 06:27:53 UTC
 '2001GEIYOJ01SEKI_grid.csv',2001-03-24 06:27:53 UTC
 '2001QINGHA01HAYE_grid.csv',2001-11-14 09:26:10 UTC
 '2002DENALI01ASAN_grid.csv',2002-11-03 22:12:41 UTC
 '2002DENALI01HAYE_grid.csv',2002-11-03 22:12:41 UTC
 '2002DENALI01OGLE_grid.csv',2002-11-03 22:12:41 UTC
 '2003BAMIRA01POIA_grid.csv',2003-12-26 01:56:52 UTC
 '2003BOUMER01SEMM_grid.csv',2003-05-21 18:44:20 UTC
 '2003CARLSB01WEIx_grid.csv',2003-07-15 20:27:50 UTC
 '2003COLIMA01YAGI_grid.csv',2003-01-22 02:06:34 UTC
 '2003MIYAGI01HIKI_grid.csv',2003-07-25 22:13:29 UTC
 '2003MIYAGI01MIUR_grid.csv',2003-07-25 22:13:29 UTC
 '2003TOKACH01KOKE_grid.csv',2003-09-25 19:50:06 UTC
 '2003TOKACH01TANI_grid.csv',2003-09-25 19:50:06 UTC
 '2003TOKACH01YAGI_grid.csv',2003-09-25 19:50:06 UTC
 '2003TOKACH01YAMA_grid.csv',2003-09-25 19:50:06 UTC
 '2004IRIANx01WEIx_grid.csv',2004-02-07 02:42:35 UTC
 '2004NIIGAT01ASAN_grid.csv',2004-10-23 08:56:00 UTC
 '2004PARKFI01CUST_grid.csv',2004-09-28 17:15:24 UTC
 '2004PARKFI01DREG_grid.csv',2004-09-28 17:15:24 UTC
 '2004PARKFI01JIxx_grid.csv',2004-09-28 17:15:24 UTC
 '2004SUMATR01AMMO_grid.csv',2004-12-26 00:58:53 UTC
 '2004SUMATR01JIxx_grid.csv',2004-12-26 00:58:53 UTC
 '2004SUMATR01RHIE_grid.csv',2004-12-26 00:58:53 UTC
 '2004SUMATR02RHIE_grid.csv',2004-12-26 00:58:53 UTC
 '2004ZHONGB01ELLI_grid.csv',2004-07-11 23:08:44 UTC
 '2005FUKUOK01ASAN_grid.csv',2005-03-20 01:53:41 UTC
 '2005FUKUOK02ASAN_grid.csv',2005-04-19 21:11:28 UTC
 '2005HONSHU01SHAO_grid.csv',2005-08-16 02:46:28 UTC
 '2005KASHMI01KONC_grid.csv',2005-10-08 03:50:40 UTC
 '2005KASHMI01SHAO_grid.csv',2005-10-08 03:50:40 UTC
 '2005NORTHE01SHAO_grid.csv',2005-06-15 02:50:54 UTC
 '2005SUMATR01JIxx_grid.csv',2005-03-28 16:09:36 UTC
 '2005SUMATR01KONC_grid.csv',2005-03-28 16:09:36 UTC
 '2005SUMATR01SHAO_grid.csv',2005-03-28 16:09:36 UTC
 '2005ZHONGB01ELLI_grid.csv',2005-04-07 20:04:41 UTC
 '2006JAVAIN01YAGI_grid.csv',2006-07-17 08:19:26 UTC
 '2006KURILI01JIxx_grid.csv',2006-11-15 11:14:13 UTC
 '2006KURILI01LAYx_grid.csv',2006-11-15 11:14:13 UTC
 '2006KURILI02SLAD_grid.csv',2006-11-15 11:14:13 UTC
 '2006PINGTU01YENx_grid.csv',2006-12-26 12:26:21 UTC
 '2006PINGTU02YENx_grid.csv',2006-12-26 12:34:13 UTC
 '2006SOUTHE01JIxx_grid.csv',2006-07-17 08:19:26 UTC
 '2006SOUTHE01KONC_grid.csv',2006-07-17 08:19:26 UTC
 '2007BENGKU01GUSM_grid.csv',2007-09-12 11:10:26 UTC
 '2007BENGKU02GUSM_grid.csv',2007-09-12 11:10:26 UTC
 '2007BENKUL01JIxx_grid.csv',2007-09-12 11:10:26 UTC
 '2007BENKUL01KONC_grid.csv',2007-09-12 11:10:26 UTC
 '2007BENKUL02KONC_grid.csv',2007-09-12 11:10:26 UTC
 '2007KURILI01JIxx_grid.csv',2007-01-13 04:23:21 UTC
 '2007KURILI01SLAD_grid.csv',2007-01-13 04:23:21 UTC
 '2007NIIGAT01CIRE_grid.csv',2007-07-16 01:13:22 UTC
 '2007NOTOHA01ASAN_grid.csv',2007-03-25 00:41:57 UTC
 '2007PAGAII01JIxx_grid.csv',2007-09-12 23:49:03 UTC
 '2007PAGAII01KONC_grid.csv',2007-09-12 23:49:03 UTC
 '2007PAGAII01SLAD_grid.csv',2007-09-12 23:49:03 UTC
 '2007PISCOP01JIxx_grid.csv',2007-08-15 23:40:57 UTC
 '2007PISCOP01KONC_grid.csv',2007-08-15 23:40:57 UTC
 '2007PISCOP01SLAD_grid.csv',2007-08-15 23:40:57 UTC
 '2007SOLOMO01JIxx_grid.csv',2007-04-01 20:39:58 UTC
 '2007TOCOPI01BEJA_grid.csv',2007-11-14 15:40:50 UTC
 '2007TOCOPI01JIxx_grid.csv',2007-11-14 15:40:50 UTC
 '2007TOCOPI01MOTA_grid.csv',2007-11-14 15:40:50 UTC
 '2007TOCOPI01SLAD_grid.csv',2007-11-14 15:40:50 UTC
 '2007TOCOPI01ZENG_grid.csv',2007-11-14 15:40:50 UTC
 '2007TOCOPI02BEJA_grid.csv',2007-11-14 15:40:50 UTC
 '2007TOCOPI03BEJA_grid.csv',2007-11-14 15:40:50 UTC
 '2008GERZET01ELLI_grid.csv',2008-01-09 08:26:45 UTC
 '2008GERZET02ELLI_grid.csv',2008-01-16 11:54:44 UTC
 '2008IWATEx01ASAN_grid.csv',2008-06-13 23:43:45 UTC
 '2008IWATEx01CULT_grid.csv',2008-06-13 23:43:45 UTC
 '2008IWATEx01HAYE_grid.csv',2008-06-13 23:43:45 UTC
 '2008KERMED01HAYE_grid.csv',2008-09-29 15:19:31 UTC
 '2008SIMEUL01HAYE_grid.csv',2008-02-20 08:08:30 UTC
 '2008SIMEUL01SLAD_grid.csv',2008-02-20 08:08:30 UTC
 '2008SULAWE01SLAD_grid.csv',2008-11-16 17:02:32 UTC
 '2008WENCHU01FIEL_grid.csv',2008-05-12 06:28:01 UTC
 '2008WENCHU01JIxx_grid.csv',2008-05-12 06:28:01 UTC
 '2008WENCHU01SLAD_grid.csv',2008-05-12 06:28:01 UTC
 '2008WENCHU01YAGI_grid.csv',2008-05-12 06:28:01 UTC
 '2008WENCHU02FIEL_grid.csv',2008-05-12 06:28:01 UTC
 '2008WENCHU03FIEL_grid.csv',2008-05-12 06:28:01 UTC
 '2008YUTIAN01ELLI_grid.csv',2008-03-20 22:32:57 UTC
 '2008ZHONGB01ELLI_grid.csv',2008-08-25 13:21:58 UTC
 '2009FIORDL01HAYE_grid.csv',2009-07-15 09:22:29 UTC
 '2009GULFOF01HAYE_grid.csv',2009-08-03 17:59:56 UTC
 '2009LAQUIL01CIRE_grid.csv',2009-04-06 01:32:39 UTC
 '2009LAQUIL01GALL_grid.csv',2009-04-06 01:32:39 UTC
 '2009LAQUIL01GUAL_grid.csv',2009-04-06 01:32:39 UTC
 '2009LAQUIL01POIA_grid.csv',2009-04-06 01:32:39 UTC
 '2009LAQUIL02CIRE_grid.csv',2009-04-06 01:32:39 UTC
 '2009LAQUIL02POIA_grid.csv',2009-04-06 01:32:39 UTC
 '2009LAQUIL03CIRE_grid.csv',2009-04-06 01:32:39 UTC
 '2009LAQUIL04CIRE_grid.csv',2009-04-06 01:32:39 UTC
 '2009LAQUIL05CIRE_grid.csv',2009-04-06 01:32:39 UTC
 '2009OFFSHO01HAYE_grid.csv',2009-05-28 08:24:46 UTC
 '2009PADANG01HAYE_grid.csv',2009-09-30 10:16:09 UTC
 '2009PADANG01SLAD_grid.csv',2009-09-30 10:16:09 UTC
 '2009PADANG02SLAD_grid.csv',2009-09-30 10:16:09 UTC
 '2009PAPUAx01HAYE_grid.csv',2009-01-03 22:33:40 UTC
 '2009SAMOAx01HAYE_grid.csv',2009-09-29 17:48:10 UTC
 '2009VANUAT01HAYE_grid.csv',2009-10-07 22:03:14 UTC
 '2009VANUAT01SLAD_grid.csv',2009-10-07 22:03:14 UTC
 '2010BONINI01HAYE_grid.csv',2010-12-21 17:19:40 UTC
 '2010DARFIE01ATZO_grid.csv',2010-09-03 16:35:47 UTC
 '2010DARFIE01HAYE_grid.csv',2010-09-03 16:35:47 UTC
 '2010ELMAYO01MEND_grid.csv',2010-04-04 22:40:42 UTC
 '2010ELMAYO01WEIx_grid.csv',2010-04-04 22:40:42 UTC
 '2010HAITIx01CALA_grid.csv',2010-01-12 21:53:10 UTC
 '2010HAITIx01HAYE_grid.csv',2010-01-12 21:53:10 UTC
 '2010HAITIx01SLAD_grid.csv',2010-01-12 21:53:10 UTC
 '2010HAITIx02HAYE_grid.csv',2010-01-12 21:53:10 UTC
